Date,ETH-USD
2015-08-07,2.7721199989318848
2015-08-08,0.7533249855041504
2015-08-09,0.7018970251083374
2015-08-10,0.7084479928016663
2015-08-11,1.0678600072860718
2015-08-12,1.2174400091171265
2015-08-13,1.8276699781417847
2015-08-14,1.8278700113296509
2015-08-15,1.6888999938964844
2015-08-16,1.5660300254821777
2015-08-17,1.2036099433898926
2015-08-18,1.087049961090088
2015-08-19,1.2588599920272827
2015-08-20,1.4649200439453125
2015-08-21,1.3952900171279907
2015-08-22,1.37923002243042
2015-08-23,1.3525899648666382
2015-08-24,1.2312699556350708
2015-08-25,1.1401900053024292
2015-08-26,1.159980058670044
2015-08-27,1.1476999521255493
2015-08-28,1.1913800239562988
2015-08-29,1.1825499534606934
2015-08-30,1.3192700147628784
2015-08-31,1.358240008354187
2015-09-01,1.3516099452972412
2015-09-02,1.2947900295257568
2015-09-03,1.264930009841919
2015-09-04,1.2744100093841553
2015-09-05,1.3388099670410156
2015-09-06,1.2958300113677979
2015-09-07,1.246649980545044
2015-09-08,1.2424299716949463
2015-09-09,1.2065099477767944
2015-09-10,1.1657700538635254
2015-09-11,0.9829779863357544
2015-09-12,1.0387400388717651
2015-09-13,0.9360030293464661
2015-09-14,0.8756219744682312
2015-09-15,0.9444100260734558
2015-09-16,0.9071750044822693
2015-09-17,0.8742309808731079
2015-09-18,0.8536850214004517
2015-09-19,0.8823909759521484
2015-09-20,0.938444972038269
2015-09-21,0.9190469980239868
2015-09-22,0.9017959833145142
2015-09-23,0.8934059739112854
2015-09-24,0.8136100172996521
2015-09-25,0.7362229824066162
2015-09-26,0.7859640121459961
2015-09-27,0.7208390235900879
2015-09-28,0.5828859806060791
2015-09-29,0.6611459851264954
2015-09-30,0.738644003868103
2015-10-01,0.690214991569519
2015-10-02,0.6785740256309509
2015-10-03,0.6871709823608398
2015-10-04,0.668379008769989
2015-10-05,0.6286429762840271
2015-10-06,0.6506450176239014
2015-10-07,0.609387993812561
2015-10-08,0.6217160224914551
2015-10-09,0.6506279706954956
2015-10-10,0.6278570294380188
2015-10-11,0.6349629759788513
2015-10-12,0.6260300278663635
2015-10-13,0.6076549887657166
2015-10-14,0.5229679942131042
2015-10-15,0.5618780255317688
2015-10-16,0.5364949703216553
2015-10-17,0.5471779704093933
2015-10-18,0.5177339911460876
2015-10-19,0.48901399970054626
2015-10-20,0.4348289966583252
2015-10-21,0.44732901453971863
2015-10-22,0.5677019953727722
2015-10-23,0.5396569967269897
2015-10-24,0.5635899901390076
2015-10-25,0.616038978099823
2015-10-26,0.7313169836997986
2015-10-27,0.8696410059928894
2015-10-28,1.0024800300598145
2015-10-29,1.2066600322723389
2015-10-30,1.04121994972229
2015-10-31,0.9166269898414612
2015-11-01,1.0556700229644775
2015-11-02,0.9897890090942383
2015-11-03,1.0133600234985352
2015-11-04,0.8990499973297119
2015-11-05,0.8956369757652283
2015-11-06,0.9260320067405701
2015-11-07,0.9279739856719971
2015-11-08,1.0274699926376343
2015-11-09,0.9992780089378357
2015-11-10,0.9343479871749878
2015-11-11,0.791828989982605
2015-11-12,0.8957110047340393
2015-11-13,0.9040960073471069
2015-11-14,0.8888120055198669
2015-11-15,0.9063680171966553
2015-11-16,0.928961992263794
2015-11-17,1.0079799890518188
2015-11-18,0.9933189749717712
2015-11-19,0.9555320143699646
2015-11-20,0.9249200224876404
2015-11-21,0.976140022277832
2015-11-22,0.9680179953575134
2015-11-23,0.9469689726829529
2015-11-24,0.9001910090446472
2015-11-25,0.8635370135307312
2015-11-26,0.8841829895973206
2015-11-27,0.867950975894928
2015-11-28,0.9157029986381531
2015-11-29,0.8786140084266663
2015-11-30,0.8731189966201782
2015-12-01,0.8748000264167786
2015-12-02,0.8212100267410278
2015-12-03,0.8121430277824402
2015-12-04,0.8400409817695618
2015-12-05,0.8624380230903625
2015-12-06,0.8355000019073486
2015-12-07,0.8112639784812927
2015-12-08,0.8221179842948914
2015-12-09,0.7921670079231262
2015-12-10,0.840395987033844
2015-12-11,0.9297620058059692
2015-12-12,0.9769729971885681
2015-12-13,0.9528840184211731
2015-12-14,0.9930220246315002
2015-12-15,1.0141500234603882
2015-12-16,0.9911820292472839
2015-12-17,0.9407010078430176
2015-12-18,0.9201269745826721
2015-12-19,0.9080719947814941
2015-12-20,0.903885006904602
2015-12-21,0.9007710218429565
2015-12-22,0.8642020225524902
2015-12-23,0.8580769896507263
2015-12-24,0.8632619976997375
2015-12-25,0.8703629970550537
2015-12-26,0.8546029925346375
2015-12-27,0.8563650250434875
2015-12-28,0.8450049757957458
2015-12-29,0.873054027557373
2015-12-30,0.9119579792022705
2015-12-31,0.933542013168335
2016-01-01,0.9480239748954773
2016-01-02,0.9371240139007568
2016-01-03,0.971904993057251
2016-01-04,0.954479992389679
2016-01-05,0.9501760005950928
2016-01-06,0.9508600234985352
2016-01-07,0.9420049786567688
2016-01-08,0.9867889881134033
2016-01-09,0.9868329763412476
2016-01-10,0.9992309808731079
2016-01-11,1.0615999698638916
2016-01-12,1.1410000324249268
2016-01-13,1.1252000331878662
2016-01-14,1.1895899772644043
2016-01-15,1.208009958267212
2016-01-16,1.220289945602417
2016-01-17,1.3274699449539185
2016-01-18,1.4263399839401245
2016-01-19,1.3713899850845337
2016-01-20,1.5318200588226318
2016-01-21,1.553570032119751
2016-01-22,1.501270055770874
2016-01-23,1.9726699590682983
2016-01-24,2.141200065612793
2016-01-25,2.499269962310791
2016-01-26,2.276370048522949
2016-01-27,2.388550043106079
2016-01-28,2.5264899730682373
2016-01-29,2.494960069656372
